"model";"vars";"clauses";"var_prob_time"
"10.sk_1_46";1494;2215;1.04
"107.sk_3_90";8948;40147;18.442
"109.sk_4_36";3565;14012;4.44899999999996
"110.sk_3_88";18570;63471;77.222
"111.sk_2_36";2348;5479;1.259
"19.sk_3_48";6993;23867;16.6799999999994
"27.sk_3_32";1509;2707;0.686999999999898
"32.sk_4_38";3834;13594;3.625
"35.sk_3_52";4915;10547;5.75
"53.sk_4_32";2586;10747;1.80400000000009
"55.sk_3_46";3128;12145;2.79599999999982
"77.sk_3_44";14535;27573;48.7919999999999
"84.sk_4_77";15678;70956;55.9250000000002
"axtls";64;96;0.0540000000000873
"blasted_case_0_b11_1";340;1026;338.712
"blasted_case_0_b12_1";427;1385;6.00200000000041
"blasted_case_0_b12_2";827;2725;497.372
"blasted_case_1_b11_1";340;1026;298.612999999999
"blasted_case_1_b12_1";427;1385;5.64899999999943
"blasted_case_1_b12_2";827;2725;477.314
"blasted_case_1_b14_1";238;681;0.613999999999578
"blasted_case_1_b14_2";270;805;0.537999999998647
"blasted_case_1_b14_3";304;941;2.52199999999903
"blasted_case_2_b12_1";427;1385;5.16799999999967
"blasted_case_2_b12_2";827;2725;436.145999999999
"blasted_case_2_b14_1";238;681;0.574000000000524
"blasted_case_2_b14_2";270;805;0.480999999999767
"blasted_case_2_b14_3";304;941;2.54400000000169
"blasted_case_3_b14_1";238;681;0.575000000000728
"blasted_case_3_b14_2";270;805;0.484000000000378
"blasted_case_3_b14_3";304;941;2.56599999999889
"blasted_case1";187;681;0.221000000001368
"blasted_case10";328;878;18.2669999999998
"blasted_case11";105;371;0.11699999999837
"blasted_case14";247;649;1.03499999999985
"blasted_case15";296;774;6.94000000000233
"blasted_case17";77;235;0.0559999999968568
"blasted_case19";397;1126;1.33499999999913
"blasted_case2";296;1116;1.07300000000032
"blasted_case20";397;1126;1.29000000000087
"blasted_case3";294;1110;1.02300000000105
"blasted_case4";103;316;0.102999999999156
"blasted_case5";176;518;0.265999999999622
"blasted_case6";329;996;0.835999999999331
"blasted_case7";116;365;0.0839999999989232
"blasted_case8";160;525;0.296000000002095
"blasted_case9";279;753;0.743999999998778
"blasted_case100";72;178;0.02
"blasted_case101";72;178;0.0420000000000016
"blasted_case102";34;92;0.0149999999999864
"blasted_case103";32;86;0.0169999999999959
"blasted_case105";170;407;2.18900000000002
"blasted_case106";204;509;0.924999999999727
"blasted_case108";205;800;0.668999999999869
"blasted_case109";241;915;1.17900000000009
"blasted_case110";287;1263;2.15800000000036
"blasted_case111";306;1358;1.48400000000038
"blasted_case112";137;520;0.139000000000124
"blasted_case113";309;1367;3.48800000000028
"blasted_case114";428;1851;153.322
"blasted_case115";428;1851;21.5920000000006
"blasted_case116";438;1881;43.1120000000001
"blasted_case117";309;1367;1.62700000000041
"blasted_case118";309;1367;1.32500000000073
"blasted_case119";267;787;1.23500000000058
"blasted_case120";284;851;0.863999999999578
"blasted_case121";291;975;1.18199999999888
"blasted_case122";314;1258;1.24700000000121
"blasted_case123";267;980;0.773000000001048
"blasted_case124";133;386;0.0780000000013388
"blasted_case43";116;421;0.117000000000189
"blasted_case44";173;651;0.638999999999214
"blasted_case45";116;421;0.118000000000393
"blasted_case46";176;660;0.625
"blasted_case47";118;328;0.058999999999287
"blasted_case50";843;3288;174.084999999999
"blasted_case51";132;395;0.137000000000626
"blasted_case52";132;395;0.139000000001033
"blasted_case53";132;395;0.136000000000422
"blasted_case54";203;725;0.556000000000495
"blasted_case55";149;442;0.394000000000233
"blasted_case56";202;722;0.519000000000233
"blasted_case57";288;1158;2.51900000000023
"blasted_case58";96;299;0.0360000000000582
"blasted_case59";93;285;0.0399999999972351
"blasted_case59_1";93;285;0.0370000000002619
"blasted_case60";15;35;0.0150000000030559
"blasted_case61";282;753;19.6029999999992
"blasted_case62";291;1165;1.64099999999962
"blasted_case63";96;299;0.0360000000000582
"blasted_case64";93;285;0.0349999999998545
"blasted_case68";178;553;1.71900000000096
"blasted_case132";236;708;0.202
"blasted_case133";211;615;0.190000000000055
"blasted_case134";60;146;0.0219999999999345
"blasted_case135";236;708;0.413000000000011
"blasted_case136";211;615;0.272999999999229
"blasted_case137";60;146;0.0190000000002328
"blasted_case144";765;2340;63.5289999999995
"blasted_case145";219;558;0.930999999999585
"blasted_case146";219;558;0.966000000000349
"blasted_case200";14;42;0.0169999999998254
"blasted_case201";200;544;0.485999999998967
"blasted_case202";200;544;0.471999999999753
"blasted_case203";214;580;0.395000000000437
"blasted_case204";214;580;0.377000000000407
"blasted_case205";214;580;0.403000000002066
"blasted_case206";14;42;0.0119999999988067
"blasted_case207";824;2128;9.66100000000006
"blasted_case208";824;2128;9.44100000000253
"blasted_case210";872;2937;35.0819999999985
"blasted_case211";869;2929;61.893
"blasted_case213";648;1891;41.9559999999983
"blasted_case214";645;1883;16.2050000000017
"blasted_squaring22";695;2193;43.8019999999997
"blasted_squaring26";894;3187;244.52
"blasted_squaring50";500;1965;102.417999999998
"blasted_squaring51";496;1947;32.9089999999997
"busybox";613;530;0.278999999998632
"DellSPLOT";118;2181;0.0780000000013388
"embtoolkit-onlybool";2331;6437;350.268
"fiasco";113;4717;0.0239999999976135
"GuidanceService2.sk_2_27";715;2181;4.29000000000087
"jhipster";45;104;0.0190000000002328
"LargeAutomotive";17365;321897;215.866000000002
"polynomial.sk_7_25";313;1027;0.121999999995751
"registerlesSwap.sk_3_10";372;1493;0.179000000003725
"s27_3_2";20;43;0.0160000000032596
"s27_15_7";32;103;0.0149999999999997
"s27_7_4";24;63;0.00900000000000034
"s27_new_15_7";17;43;0.0110000000000028
"s27_new_3_2";17;31;0.0150000000000006
"s27_new_7_4";17;35;0.0170000000000101
"s298_15_7";292;870;5.39999999999999
"s298_3_2";205;510;0.964999999999975
"s298_7_4";223;586;4.75200000000001
"s344_15_7";284;824;4.38099999999997
"s344_3_2";197;464;2.60400000000004
"s344_7_4";215;540;3.14100000000008
"s349_15_7";285;829;2.94699999999921
"s349_3_2";198;469;0.631999999999607
"s349_7_4";216;545;1.65200000000004
"s382_15_7";350;995;3.41100000000006
"s382_3_2";263;635;0.279000000000451
"s382_7_4";281;711;0.416000000001077
"s420_15_7";366;994;4.46600000000035
"s420_3_2";294;694;1.03100000000086
"s420_7_4";312;770;1.90999999999985
"s420_new_15_7";351;934;2.07099999999991
"s420_new_3_2";294;694;1.03499999999985
"s420_new_7_4";312;770;1.11700000000019
"s420_new1_15_7";366;994;4.77499999999964
"s420_new1_3_2";294;694;1.06500000000051
"s420_new1_7_4";312;770;1.98500000000058
"s444_15_7";377;1072;1.56599999999889
"s444_3_2";290;712;0.27100000000064
"s444_7_4";308;788;0.981999999999971
"s510_15_7";340;948;0.768000000000029
"s510_3_2";298;768;0.574999999998909
"s510_7_4";316;844;0.579000000001543
"s526_15_7";452;1303;35.1849999999977
"s526_3_2";365;943;2.72799999999916
"s526_7_4";383;1019;7.3080000000009
"s526a_15_7";453;1304;27.6209999999992
"s526a_3_2";366;944;3.75699999999779
"s526a_7_4";384;1020;10.3329999999987
"s641_15_7";576;1399;190.635000000002
"s641_3_2";489;1039;28.8459999999977
"s641_7_4";507;1115;166.860000000001
"s713_3_2";509;1117;44.4429999999993
"s713_7_4";527;1193;87.8389999999999
"s713_15_7";596;1477;473.549
"blasted_case125";393;1555;1.373
"blasted_case126";302;1129;1.41000000000003
"blasted_case127";36;104;0.0169999999999959
"blasted_case128";36;104;0.0160000000000196
"blasted_case130";644;2056;5.65100000000001
"blasted_case131";432;1830;11.2080000000001
"blasted_case21";126;411;0.102000000000089
"blasted_case22";126;411;0.0810000000000173
"blasted_case23";77;235;0.0360000000000582
"blasted_case24";65;190;0.0259999999999536
"blasted_case25";68;195;0.0320000000000391
"blasted_case26";53;148;0.0209999999999582
"blasted_case27";52;146;0.0289999999999964
"blasted_case28";51;143;0.0199999999999818
"blasted_case29";65;190;0.0289999999999964
"blasted_case30";68;195;0.0259999999998399
"blasted_case31";53;148;0.0209999999999582
"blasted_case32";52;146;0.0189999999997781
"blasted_case33";51;143;0.0230000000001382
"blasted_case34";409;1597;6.41300000000001
"blasted_case35";400;1414;8.24299999999994
"blasted_case36";64;208;0.0250000000000909
"blasted_case38";143;568;0.162000000000035
"blasted_case39";245;650;14.1990000000001
"blasted_case40";245;650;16.1489999999999
"blasted_case41";245;650;17.0609999999997
"s1196a_3_2";690;1805;419.598999999999
"s1196a_7_4";708;1881;159.982
"s1238a_3_2";686;1850;289.914999999999
"s1238a_7_4";704;1926;412.825000000001
"s1488_15_7";941;2783;24.2150000000001
"s1488_7_4";872;2499;32.2330000000002
"s820a_15_7";685;1987;2.95800000000054
"s820a_3_2";598;1627;0.731999999999971
"s820a_7_4";616;1703;2.35599999999977
"s832a_15_7";693;2017;19.4069999999992
"s832a_3_2";606;1657;1.57999999999993
"s832a_7_4";624;1733;2.61800000000039
"s838_15_7";685;1774;63.5419999999995
"s838_3_2";598;1414;27.5779999999995
"s838_7_4";616;1490;15.6949999999997
"s953a_3_2";515;1297;31.5879999999997
"s953a_7_4";533;1373;38.1589999999997
"tableBasedAddition.sk_240_1024";1026;961;0.26299999999901
"toybox";544;1020;0.132000000001426
"uClibc";298;903;0.299000000002707
